indice_tiempo,nivel_general
1943-01-01,2.05049e-12
1943-02-01,2.03862e-12
1943-03-01,2.07078e-12
1943-04-01,2.08452e-12
1943-05-01,2.06641e-12
1943-06-01,2.06859e-12
1943-07-01,1.95183e-12
1943-08-01,1.97213e-12
1943-09-01,1.95402e-12
1943-10-01,1.97431e-12
1943-11-01,1.97431e-12
1943-12-01,1.96807e-12
1944-01-01,1.9818e-12
1944-02-01,1.98586e-12
1944-03-01,1.99866e-12
1944-04-01,1.97618e-12
1944-05-01,1.96807e-12
1944-06-01,2.00397e-12
1944-07-01,2.0021e-12
1944-08-01,2.03051e-12
1944-09-01,2.02645e-12
1944-10-01,2.04018e-12
1944-11-01,2.04018e-12
1944-12-01,2.04424e-12
1945-01-01,2.20346e-12
1945-02-01,2.24561e-12
1945-03-01,2.41294e-12
1945-04-01,2.41513e-12
1945-05-01,2.42356e-12
1945-06-01,2.42481e-12
1945-07-01,2.45322e-12
1945-08-01,2.43105e-12
1945-09-01,2.4451e-12
1945-10-01,2.44697e-12
1945-11-01,2.45134e-12
1945-12-01,2.50535e-12
1946-01-01,2.6811e-12
1946-02-01,2.6852e-12
1946-03-01,2.7638e-12
1946-04-01,2.8116e-12
1946-05-01,2.8041e-12
1946-06-01,2.8519e-12
1946-07-01,2.8581e-12
1946-08-01,2.8382e-12
1946-09-01,2.8422e-12
1946-10-01,2.9125e-12
1946-11-01,2.9249e-12
1946-12-01,2.9749e-12
1947-01-01,2.9493e-12
1947-02-01,2.9693e-12
1947-03-01,3.1507e-12
1947-04-01,3.1525e-12
1947-05-01,3.156e-12
1947-06-01,3.3033e-12
1947-07-01,3.2671e-12
1947-08-01,3.2971e-12
1947-09-01,3.3011e-12
1947-10-01,3.283e-12
1947-11-01,3.3136e-12
1947-12-01,3.4185e-12
1948-01-01,3.3636e-12
1948-02-01,3.3539e-12
1948-03-01,3.4145e-12
1948-04-01,3.4344e-12
1948-05-01,3.5194e-12
1948-06-01,3.6199e-12
1948-07-01,3.6118e-12
1948-08-01,3.6861e-12
1948-09-01,3.8372e-12
1948-10-01,3.849e-12
1948-11-01,3.8575e-12
1948-12-01,4.0629e-12
1949-01-01,4.0851e-12
1949-02-01,4.0747e-12
1949-03-01,4.3526e-12
1949-04-01,4.5643e-12
1949-05-01,4.697e-12
1949-06-01,4.7519e-12
1949-07-01,4.8399e-12
1949-08-01,4.9227e-12
1949-09-01,4.9998e-12
1949-10-01,5.1365e-12
1949-11-01,5.3017e-12
1949-12-01,5.4303e-12
1950-01-01,5.3338e-12
1950-02-01,5.4728e-12
1950-03-01,5.4746e-12
1950-04-01,5.5936e-12
1950-05-01,5.8596e-12
1950-06-01,6.0269e-12
1950-07-01,6.0288e-12
1950-08-01,6.0406e-12
1950-09-01,6.2801e-12
1950-10-01,6.5183e-12
1950-11-01,6.5039e-12
1950-12-01,6.631e-12
1951-01-01,6.5664e-12
1951-02-01,6.7599e-12
1951-03-01,6.7802e-12
1951-04-01,7.3927e-12
1951-05-01,7.9441e-12
1951-06-01,8.2079e-12
1951-07-01,8.2703e-12
1951-08-01,9.0364e-12
1951-09-01,8.8647e-12
1951-10-01,9.1348e-12
1951-11-01,9.1648e-12
1951-12-01,9.9605e-12
1952-01-01,1.03495e-11
1952-02-01,1.04257e-11
1952-03-01,1.07301e-11
1952-04-01,1.14007e-11
1952-05-01,1.15799e-11
1952-06-01,1.18196e-11
1952-07-01,1.13361e-11
1952-08-01,1.12895e-11
1952-09-01,1.16689e-11
1952-10-01,1.17875e-11
1952-11-01,1.18175e-11
1952-12-01,1.18599e-11
1953-01-01,1.17076e-11
1953-02-01,1.23875e-11
1953-03-01,1.23291e-11
1953-04-01,1.18118e-11
1953-05-01,1.16202e-11
1953-06-01,1.16002e-11
